"Konto";"Kontobezeichnung";"Datum";"Belegnummer";"Text";"Gegenkonto";"Soll";"Haben";"Steuer";"Steuerkonto"
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"23.01.2026";"";"REF-9FEB217ED781E98F18 EREF: D-004SYD87YHD4 MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"26.01.2026";"";"E-FD7 SecureGo plus IBAN: BE48905136752627 BIC: TRWIBEB1XXX";"1201";"10.000,00";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"30.01.2026";"";"IBAN DE50370626004041097219RECHN.ZINS 430,97 TILG./ENTG. 772,84 TILGUNG PER 30.01.2026 NEUER SALDO 85.564,51S";"1201";"772,84";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"30.01.2026";"";"REF-AAEECA0F96E2BBA64D EREF: D-004VFK1E0V4J MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"02.02.2026";"";"RATE PER 01.02.2026 EREF: 7275139995202602022026020101 MREF: 727513999520250701 CRED: DE63ZZZ00000056647 IBAN: DE19300209007275139995 BIC: CMCIDEDDXXX";"1201";"585,45";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"03.02.2026";"";"Teilzahlung Darlehen GB AG RECHN.ZINS 137,96 TILG./ENTG. 473,54 TILGUNG PER 31.01.2026 MREF: 8361300052D370626004041097014 CRED: DE8820000000193549 IBAN: DE74201304003100250368 BIC: GREBDEH1 ABWA: Witeczek.Julian";"1201";"473,54";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"05.02.2026";"";"Ref. 1117204407/71295065:ME-NF21:02.02.2026:503,25 EREF: 0372329196 MREF: 000002100877 CRED: DE14ZZZ00000194784 IBAN: DE22600800000960028000 BIC: DRESDEFF600";"1201";"374,52";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"06.02.2026";"";"REF-67C72D1119D2190474 EREF: D-004Y47BKH18K MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"13.02.2026";"";"REF-C414DFE956305C8E29 EREF: D-0050JVBZWK61 MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"20.02.2026";"";"REF-6F422983217037C3FB EREF: D-0051M5PV1Z8C MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"25.02.2026";"";"E-FD7 SecureGo plus IBAN: BE48905136752627 BIC: TRWIBEB1XXX";"1201";"10.000,00";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"27.02.2026";"";"IBAN DE50370626004041097219RECHN.ZINS 427,11 TILG./ENTG. 776,70 TILGUNG PER 30.02.2026 NEUER SALDO 84.787,81S";"1201";"776,70";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"27.02.2026";"";"REF-C89E44313B0626A426 EREF: D-00532PABRVA8 MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"02.03.2026";"";"RATE PER 01.03.2026 EREF: 7275139995202603022026030101 MREF: 727513999520250701 CRED: DE63ZZZ00000056647 IBAN: DE19300209007275139995 BIC: CMCIDEDDXXX";"1201";"585,45";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"05.03.2026";"";"Ref. 1117204407/71295065:ME-NF21:02.03.2026:503,25 EREF: 0372622614 MREF: 000002100877 CRED: DE14ZZZ00000194784 IBAN: DE22600800000960028000 BIC: DRESDEFF600";"1201";"374,52";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"06.03.2026";"";"REF-87C1EE7A1B5A9E8795 EREF: D-00560V57Q1Q0 MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"13.03.2026";"";"REF-74593E9506A4B1DDA9 EREF: D-005809E8YJYK MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"20.03.2026";"";"REF-6C32172813D2FE6AC8 EREF: D-00591BJN3YSF MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"25.03.2026";"";"Darlehensauszahlung -227";"1201";"0,00";"125.000,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"27.03.2026";"";"REF-92B8B7749567E1A9EF EREF: D-005A6CEDC10H MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"30.03.2026";"";"IBAN DE28370626004041097227RECHN.ZINS 121,35 TILG./ENTG. 2.353,65 TILGUNG PER 30.03.2026 NEUER SALDO 122.646,35S";"1201";"2.353,65";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"30.03.2026";"";"IBAN DE50370626004041097219RECHN.ZINS 423,23 TILG./ENTG. 780,58 TILGUNG PER 30.03.2026 NEUER SALDO 84.007,23S";"1201";"423,23";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"01.04.2026";"";"RATE PER 01.04.2026 EREF: 7275139995202604012026040101 MREF: 727513999520250701 CRED: DE63ZZZ00000056647 IBAN: DE19300209007275139995 BIC: CMCIDEDDXXX";"1201";"585,45";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"02.04.2026";"";"Teilzahlung Darlehen GB AG RECHN.ZINS 135,70 TILG./ENTG. 475,80 TILGUNG PER 31.03.2026 MREF: 8361300052D370626004041097014 CRED: DE8820000000193549 IBAN: DE74201304003100250368 BIC: GREBDEH1 ABWA: Witeczek.Julian";"1201";"475,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"07.04.2026";"";"REF-4E402BA7BEA5822121 EREF: D-005CX5EY383Z MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"08.04.2026";"";"Ref. 1117204407/71295065:ME-NF21:01.04.2026:503,25 EREF: 0372923252 MREF: 000002100877 CRED: DE14ZZZ00000194784 IBAN: DE22600800000960028000 BIC: DRESDEFF600";"1201";"374,52";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"10.04.2026";"";"REF-78FD3C97BC889DA4B1 EREF: D-005ETX80C4EC MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"14.04.2026";"";"Rückgabe Youlend";"1201";"0,00";"1.853,08";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"17.04.2026";"";"Ratenrückstand SecureGo plus IBAN: DE74201304003100250368 BIC: GREBDEH1XXX";"1201";"480,40";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"30.04.2026";"";"IBAN DE28370626004041097227RECHN.ZINS 714,41 TILG./ENTG. 1.760,59 TILGUNG PER 30.04.2026 NEUER SALDO 120.885,76S";"1201";"1.760,59";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"30.04.2026";"";"IBAN DE50370626004041097219RECHN.ZINS 419,34 TILG./ENTG. 784,47 TILGUNG PER 30.04.2026 NEUER SALDO 83.222,76S";"1201";"784,47";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"04.05.2026";"";"RATE PER 01.05.2026 EREF: 7275139995202605042026050101 MREF: 727513999520250701 CRED: DE63ZZZ00000056647 IBAN: DE19300209007275139995 BIC: CMCIDEDDXXX";"1201";"585,45";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"05.05.2026";"";"Teilzahlung Darlehen GB AG RECHN.ZINS 131,10 TILG./ENTG. 480,40 TILGUNG PER 30.04.2026 MREF: 8361300052D370626004041097014 CRED: DE8820000000193549 IBAN: DE74201304003100250368 BIC: GREBDEH1 ABWA: Witeczek.Julian";"1201";"480,40";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"06.05.2026";"";"Ref. 1117204407/71295065:ME-NF21:01.05.2026:503,25 EREF: 0373213676 MREF: 000002100877 CRED: DE14ZZZ00000194784 IBAN: DE22600800000960028000 BIC: DRESDEFF600";"1201";"374,52";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"29.05.2026";"";"IBAN DE28370626004041097227RECHN.ZINS 704,16 TILG./ENTG. 1.770,84 TILGUNG PER 30.05.2026 NEUER SALDO 119.114,92S";"1201";"1.770,84";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"29.05.2026";"";"IBAN DE50370626004041097219RECHN.ZINS 415,42 TILG./ENTG. 788,39 TILGUNG PER 30.05.2026 NEUER SALDO 82.434,37S";"1201";"788,39";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"01.06.2026";"";"RATE PER 01.06.2026 EREF: 7275139995202606012026060101 MREF: 727513999520250701 CRED: DE63ZZZ00000056647 IBAN: DE19300209007275139995 BIC: CMCIDEDDXXX";"1201";"585,45";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"02.06.2026";"";"Teilzahlung Darlehen GB AG RECHN.ZINS 125,10 TILG./ENTG. 486,40 TILGUNG PER 31.05.2026 MREF: 8361300052D370626004041097014 CRED: DE8820000000193549 IBAN: DE74201304003100250368 BIC: GREBDEH1 ABWA: Witeczek.Julian";"1201";"480,40";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"08.06.2026";"";"Ref. 1117204407/71295065:ME-NF21:01.06.2026:503,25 EREF: 0373497274 MREF: 000002100877 CRED: DE14ZZZ00000194784 IBAN: DE22600800000960028000 BIC: DRESDEFF600";"1201";"374,52";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"01.07.2026";"";"RATE PER 01.07.2026 EREF: 7275139995202607012026070101 MREF: 727513999520250701 CRED: DE63ZZZ00000056647 IBAN: DE19300209007275139995 BIC: CMCIDEDDXXX";"1201";"585,45";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"02.07.2026";"";"Teilzahlung Darlehen GB AG RECHN.ZINS 121,82 TILG./ENTG. 489,68 TILGUNG PER 30.06.2026 MREF: 8361300052D370626004041097014 CRED: DE8820000000193549 IBAN: DE74201304003100250368 BIC: GREBDEH1 ABWA: Witeczek.Julian";"1201";"480,40";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"06.07.2026";"";"Ref. 1117204407/71295065:ME-NF21:01.07.2026:503,25 EREF: 0373788453 MREF: 000002100877 CRED: DE14ZZZ00000194784 IBAN: DE22600800000960028000 BIC: DRESDEFF600";"1201";"374,52";"0,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"05.01.2026";"Verrechnung WWGoodsCommerce";"Sammelkunde Aufnahme Gesellschafter";"10001";"0,00";"2.343,75";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"12.01.2026";"";"Tilgung EREF: MOB.012.EE.POS00061137";"1201";"0,00";"2.000,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"13.01.2026";"";"Tilgung EREF: MOB.013.EE.POS00020769";"1201";"0,00";"343,75";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"19.01.2026";"";"Tilgung EREF: MOB.019.EE.POS00067443";"1201";"0,00";"2.343,75";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"20.01.2026";"";"Darlehen Julian Witeczek an Elek-Tech GbR";"1201";"0,00";"8.800,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"20.01.2026";"";"Privates Darlehen EREF: fc8b73d145b04b4095419623cad9afb4";"1201";"0,00";"800,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"20.01.2026";"";"Storno: Aufnahme Gesellschafter";"1201";"0,00";"-8.800,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"27.01.2026";"";"Tilgung EREF: MOB.027.EE.POS00018508";"1201";"0,00";"2.343,75";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"29.01.2026";"";"JW - Darlehen";"1201";"1.050,00";"0,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"02.02.2026";"";"Tilgung EREF: MOB.033.EE.POS00087456";"1201";"0,00";"2.343,75";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"04.02.2026";"";"JW - Darlehen";"1201";"2.275,00";"0,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"09.02.2026";"";"Tilgung EREF: MOB.040.EE.POS00099946";"1201";"0,00";"2.343,75";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"18.02.2026";"";"JW - Darlehen";"1201";"2.275,00";"0,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"23.02.2026";"";"Tilgung EREF: MOB.054.EE.POS00028368";"1201";"0,00";"2.343,75";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"02.03.2026";"";"Tilgung EREF: MOB.061.EE.POS00143958";"1201";"0,00";"2.343,75";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"03.03.2026";"";"EREF: 850b811da70f4b71b24386fc14ee11ab";"1201";"0,00";"2.000,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"04.03.2026";"";"EREF: b03cb95d5c5d4a2ca2e75f58f9a083db";"1201";"0,00";"740,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"09.03.2026";"";"Tilgung EREF: MOB.068.EE.POS00087036";"1201";"0,00";"2.343,75";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"18.03.2026";"";"Ali Express SecureGo plus IBAN: DE25300400000496409400 BIC: COBADEFFXXX";"1201";"308,39";"0,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"25.03.2026";"";"Tilgung s. privates Darlehen SecureGo plus IBAN: DE52100123450596823201 BIC: TRBKDEBBXXX";"1201";"2.275,00";"0,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"31.03.2026";"";"Leihe an AW";"1201";"8.800,00";"0,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"01.04.2026";"";"Tilgung s. Privater Kredit SecureGo plus IBAN: DE52100123450596823201 BIC: TRBKDEBBXXX";"1201";"1.945,00";"0,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"10.04.2026";"";"Leihe AW";"1201";"500,00";"0,00";"0,00";""
"730";"Verbindlichkeiten gegenüber Gesellschaftern";"14.04.2026";"";"Transit EREF: be730373ec804c3d9f9351f6d105a4fd";"1201";"0,00";"5.970,00";"0,00";""
"1201";"Bank";"02.01.2026";"251903";"Zahlungsausg.: RE251903 Mandantennr. 3010762 SecureGo plus IBAN: DE81370501981932650722 BIC: COLSDE33XXX";"70002";"0,00";"3.230,66";"0,00";""
"1201";"Bank";"02.01.2026";"RE2600061";"Zahlungsausg.: RE2600061 SecureGo plus IBAN: DE60265700240182236001 BIC: DEUTDEDB265";"70002";"0,00";"166,01";"0,00";""
"1201";"Bank";"02.01.2026";"";"23162005 Rate 31 271458 2025-12-29 10:08:22-1-7 EREF: 271458 2025-12-29 10:08:22-1-7 MREF: 23162005 CRED: DE52ZZZ00002462348 IBAN: DE97200301331454670207 BIC: VGAGDEHHXXX";"630";"0,00";"4.687,50";"0,00";""
"1201";"Bank";"02.01.2026";"";"23162005 Rate 31 271458 2025-12-29 10:08:22-1-7 EREF: 271458 2025-12-29 10:08:22-1-7 MREF: 23162005 CRED: DE52ZZZ00002462348 IBAN: DE97200301331454670207 BIC: VGAGDEHHXXX";"2120";"0,00";"606,90";"19,00";"1576"
"1201";"Bank";"02.01.2026";"";"84354466929 Untern.-Police / 293.85 Folgeb. 01.01 EREF: 221026196324 MREF: MR0000028519900 CRED: DE6300100000136090 IBAN: DE21500604000008012247 BIC: GENODEFFXXX";"4360";"0,00";"293,85";"0,00";""
"1201";"Bank";"02.01.2026";"";"HUK24, KRAFTFAHRT-VERSICHERUNG 667/706032-Q, D-JW 1224 EREF: 212+ZKLE 30.12.25 667/706032-Q F MREF: ML049537915 CRED: DE17ZZZ00000031285 IBAN: DE14700500000002034343 BIC: BYLADEMM ABWA: HUK24 AG";"1360";"0,00";"591,50";"0,00";""
"1201";"Bank";"02.01.2026";"";"Julian Witeczek";"1800";"0,00";"290,13";"0,00";""
"1201";"Bank";"02.01.2026";"";"RATE PER 01.01.2026 EREF: 7275139995202601022026010101 MREF: 727513999520250701 CRED: DE63ZZZ00000056647 IBAN: DE19300209007275139995 BIC: CMCIDEDDXXX";"630";"0,00";"585,45";"0,00";""
"1201";"Bank";"02.01.2026";"";"RATE PER 01.01.2026 EREF: 7275139995202601022026010101 MREF: 727513999520250701 CRED: DE63ZZZ00000056647 IBAN: DE19300209007275139995 BIC: CMCIDEDDXXX";"2120";"0,00";"114,68";"0,00";""
"1201";"Bank";"02.01.2026";"";"RE135154164,TR135154164 EREF: 0001-DebZ009435426-5862075771 MREF: C49684AD5A4336D9 CRED: DE25ZZZ00002143316 IBAN: DE54100400000262999600 BIC: COBADEBB";"4650";"0,00";"55,55";"19,00";"1576"
"1201";"Bank";"02.01.2026";"";"RF31-8448-5240-1677 TAN: Auftrag nicht TAN-pflichtig, da Kleinbetragszahlung IBAN: NL70DEUT0265262313 BIC: DEUTNL2AXXX";"4970";"0,00";"0,10";"0,00";""
"1201";"Bank";"02.01.2026";"";"Rundfunk 01.2026 - 03.2026 Beitragsnr. 550327876 Aenderungen ganz bequem: www.rundfunkbeitrag.de EREF: 550327876 2025121601422326 MREF: 5503278762401 CRED: DE3000100000001272 IBAN: DE54300500000001111111 BIC: WELADEDDXXX ABWA: Westdeutscher Rundfunk Koln";"4390";"0,00";"36,72";"0,00";""
"1201";"Bank";"02.01.2026";"";"Teilzahlung Darlehen GB AG RECHN.ZINS 141,13 TILG./ENTG. 470,37 TILGUNG PER 31.12.2025 MREF: 8361300052D370626004041097014 CRED: DE8820000000193549 IBAN: DE74201304003100250368 BIC: GREBDEH1 ABWA: Witeczek.Julian";"630";"0,00";"467,21";"0,00";""
"1201";"Bank";"02.01.2026";"";"Teilzahlung Darlehen GB AG RECHN.ZINS 141,13 TILG./ENTG. 470,37 TILGUNG PER 31.12.2025 MREF: 8361300052D370626004041097014 CRED: DE8820000000193549 IBAN: DE74201304003100250368 BIC: GREBDEH1 ABWA: Witeczek.Julian";"2120";"0,00";"144,29";"0,00";""
"1201";"Bank";"02.01.2026";"1723122025_1";"Währungsumr.: Backmarket - Kommission EREF: MOB.002.EE.POS00027763";"2150";"0,00";"0,02";"0,00";""
"1201";"Bank";"02.01.2026";"1723122025_1";"Zahlungsausg.: Backmarket - Kommission EREF: MOB.002.EE.POS00027763";"70002";"0,00";"4.011,85";"0,00";""
"1201";"Bank";"02.01.2026";"1723122025_2";"Währungsumr.: Backmarket - Kommission EREF: MOB.002.EE.POS00027763";"2660";"0,13";"0,00";"0,00";"1770"
"1201";"Bank";"02.01.2026";"1723122025_2";"Zahlungseing.: Backmarket - Kommission EREF: MOB.002.EE.POS00027763";"10001";"22.458,20";"0,00";"0,00";""
"1201";"Bank";"02.01.2026";"1767162132035671286_1";"Zahlungsausg.: <em>REFURBED</em> EREF: <em>REFURBED</em>-IKMMSBICN4J6XF5GTHVH1PHEWU";"70013";"0,00";"468,90";"0,00";""
"1201";"Bank";"02.01.2026";"1767162132035671286_2";"Zahlungseing.: <em>REFURBED</em> EREF: <em>REFURBED</em>-IKMMSBICN4J6XF5GTHVH1PHEWU";"10082";"2.973,65";"0,00";"0,00";""
"1201";"Bank";"02.01.2026";"281201012026_1";"Zahlungsausg.: SLR1119DAE86XQAF1NOAVWRRFP8XML EREF: SLR1119DAE86XQAF1NOAVWRRFP8XML";"70002";"0,00";"151,57";"0,00";""
